Name,Source,Page,Prerequisites,Ability Scores,Repeatable,Description,5etools Link
Baruk Khazâd!,TLotRR,83,,,No,"The secret tongue of the Dwarves is guarded as a treasure of the past, yet their battle-cry is well-known and feared by their foes.Increase your Strength or Charisma by 1, to a maximum of 20.You can use a bonus action on your turn to force each hostile creature that can hear and see you within 30 feet of you to make a Charisma (Intimidation) check (DC 8 + your proficiency bonus + your choice of your Strength or Charisma modifier).
On a failed check, the creature becomes frightened of you until the end of your next turn.
Attack rolls against creatures frightened in this way have advantage.
Once you use this virtue, you cannot use it again until you finish a short or long rest.",https://5e.tools/feats.html#baruk%20khaz%c3%a2d!_tlotrr
Beast-Craft,TLotRR,64,,,No,"You gain the ability to comprehend and verbally communicate with beasts.
The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and creatures, including whatever they can perceive or have perceived within the past day.
You might be able to persuade a beast to perform a small favour for you, at the Loremaster's discretion, such as delivering a letter, or a verbal message to someone who can also speak with beasts.In addition, as an action you can spend a craft slot and choose a beast that you can see within 30 feet of you.
It must be able to see and hear you.
Make a Wisdom (Animal Handling) check, contested by the target's Wisdom (Insight) check.
If you win the contest, the beast is charmed by you for 24 hours or until you or your companions do anything harmful to it.
If you obtain a magical success and the target is a beast with a challenge rating of 1/8 or lower, you can make the beast permanently charmed by you, until you dismiss it, harm it, or make another beast permanently charmed by you.
A beast automatically wins the contest if its Intelligence score is 4 or higher.
When you reach 5th level, you can affect one additional beast, or two additional beasts at 9th level.",https://5e.tools/feats.html#beast-craft_tlotrr
Boomerang Expert,ObojimaTallGrass,162,,,No,"You have mastered the versatile boomerang and are capable of performing extraordinary feats with the weapon.
You gain the following benefits:The damage die for the boomerang is now a d8 for you.Attacking at long range doesn't impose disadvantage on ranged attack rolls made with a boomerang.You automatically catch the boomerang after throwing it without needing to use your reaction.",https://5e.tools/feats.html#boomerang%20expert_obojimatallgrass
Bountiful Luck,XGE,73,Halfling,,No,"Your people have extraordinary luck, which you have learned to mystically lend to your companions when you see them falter.
You're not sure how you do it; you just wish it, and it happens.
Surely a sign of fortune's favor!When an ally you can see within 30 feet of you rolls a 1 on the d20 for an attack roll, an ability check, or a saving throw, you can use your reaction to let the ally reroll the die.
The ally must use the new roll.When you use this ability, you can't use your Lucky racial trait before the end of your next turn.",https://5e.tools/feats.html#bountiful%20luck_xge
Brave at a Pinch,TLotRR,86,,,No,"One of the Wise once said that you have to put a Hobbit in a tight place before you find out what is in them.
You prefer to avoid finding yourself in one, but you are also sure you would be able to take good care of yourself in the circumstances.Increase one ability score of your choice by 1, to a maximum of 20.Whenever a hostile creature or harmful effect imposes a condition on you, you suffer one or more levels of exhaustion, or you drop to half or less of your maximum hit points, you gain inspiration.",https://5e.tools/feats.html#brave%20at%20a%20pinch_tlotrr
Bree-Pony,TLotRR,88,,,No,"Bree- ponies are very similar to their owners, the Bree-folk—they don't seem to have anything special compared to their peers in other parts of Middle-earth, and yet some of them display uncommon courage and exceptional memory.
You have acquired an unusually brave and intelligent beast that follows you everywhere.Increase your Wisdom score by 1, to a maximum of 20.Your pony uses your proficiency bonus rather than its own, and adds your proficiency bonus to each of its ability scores, AC, and to any ability check or saving throw that it makes.Your pony has a number of Hit Dice equal to your character level instead of its normal Hit Dice (minimum 2).Your pony obeys your commands.
In combat, it takes its turn on your initiative and acts and moves as you direct it (no action required by you), or on its own if you are absent or incapacitated.
It cannot make opportunity attacks, and its only action options are Dash, Disengage, and Dodge, unless you spend an action on your turn to command it to take another action.
If your pony dies, you can acquire a new one during the next Yule Fellowship Phase.",https://5e.tools/feats.html#bree-pony_tlotrr
Broken Spells,TLotRR,83,,,No,"In ancient times, the Dwarves made mighty spells.
You have been taught fragments of old enchantments that retain some power to this day.Increase one ability score of your choice by 1, to a maximum of 20.Choose any combination of three skills or tools you are proficient with.
Whenever you make an ability check that uses one of the chosen proficiencies, you can obtain a magical success.
You can do so a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#broken%20spells_tlotrr
Bumbling Fool,ObojimaTallGrass,162,,,No,"You have a peculiar way of fumbling through life that somehow always works out in your favor, succeeding in situations through what others might view as accidental luck.
When you fail an ability check and roll a number on the die equal to half your level (rounded up) or lower, you can choose to replace the die roll with a 15 instead.
You can use this ability three times, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#bumbling%20fool_obojimatallgrass
Canden and Moon's Master Cut,ObojimaTallGrass,162,You must have beaten a master at Master Canden and Moon's Sword School,,No,"Having trained with the masters of the first sword school of Obojima, you've picked up a handful of useful skills.
You gain the following benefits:Your walking speed increases by 5 feet.Immediately after rolling initiative, you can use your reaction before the first turn of combat to draw a weapon and move up to half your speed (rounded up).
If you end this movement within reach of another creature, you can use the weapon to make one melee attack against that creature.When you are hit by an attack, you can use a reaction to assume a defensive stance, allowing you to fend off incoming strikes.
Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack.
Once you assume this stance, you can't do so again until you finish a long rest.",https://5e.tools/feats.html#canden%20and%20moon's%20master%20cut_obojimatallgrass
Careful Crafter,GrimHollowLairsEtharis,,Proficiency in a skill or tool,,No,"You've trained in crafting items using a skill or tool that you're proficient with, and your creations are known for being well made and reliable.
You gain the following benefits:You make all ability checks for crafting with advantage.Anyone assisting you in crafting an item gains advantage on their ability checks for crafting.If you fail to successfully craft the item, the amount of time it took to complete the process is halved.",https://5e.tools/feats.html#careful%20crafter_grimhollowlairsetharis
Cartomancer,BMT,49,"4th level, Spellcasting Feature",,No,"You have learned to channel your magic through a deck of cards.
You can use a card deck as your spellcasting focus, and you gain the following benefits:Card Tricks.
You learn the Prestidigitation cantrip and can use it to create illusions that duplicate the effects of stage magic.
When you use Prestidigitation in this way, you can conceal the verbal and somatic components of the spell as ordinary conversation and card handling.Hidden Ace.
When you finish a long rest, you can choose one spell from your class's spell list and imbue that spell into a card.
The chosen spell must have a casting time of 1 action, and it must be a level for which you have spell slots.
The card remains imbued with this spell for 8 hours.
While the card is imbued with the spell, you can use a bonus action to flourish the card and cast the spell within.
The card then immediately loses its magic.",https://5e.tools/feats.html#cartomancer_bmt
Charger,PHB,165,,,No,"When you use your action to Dash, you can use a bonus action to make one melee weapon attack or to shove a creature.If you move at least 10 feet in a straight line immediately before taking this bonus action, you either gain a +5 bonus to the attack's damage roll (if you chose to make a melee attack and hit) or push the target up to 10 feet away from you (if you chose to shove and you succeed).",https://5e.tools/feats.html#charger_phb
Chef,TCE,79,,,No,"Time spent mastering the culinary arts has paid off, granting you the following benefits:Increase your Constitution or Wisdom by 1, to a maximum of 20.You gain proficiency with cook's utensils if you don't already have it.As part of a short rest, you can cook special food, provided you have ingredients and cook's utensils on hand.
You can prepare enough of this food for a number of creatures equal to 4 + your proficiency bonus.
At the end of the short rest, any creature who eats the food and spends one or more Hit Dice to regain hit points regains an extra 1d8 hit points.With one hour of work or when you finish a long rest, you can cook a number of treats equal to your proficiency bonus.
These special treats last 8 hours after being made.
A creature can use a bonus action to eat one of those treats to gain temporary hit points equal to your proficiency bonus.",https://5e.tools/feats.html#chef_tce
Cloud Hopper,ObojimaTallGrass,162,,,No,"Your exposure to the great wind spirit has changed you.
You gain the following benefits:When you move on your turn, you can choose to conjure tiny clouds below your feet, allowing you to move into unoccupied spaces in the air.
You can move a number of feet in this way equal to 5 × your proficiency bonus before the clouds stop appearing.
Ending this movement while in the air causes you to fall as normal.You learn the Fog Cloud and Gust of Wind spells, each of which you can cast once without expending a spell slot.
You regain the ability to cast these two spells in this way when you finish a long rest.
You can also cast the spells using spell slots you have of the appropriate level.
Your spellcasting ability for this spell is Intelligence, Wisdom, or Charisma (your choice).",https://5e.tools/feats.html#cloud%20hopper_obojimatallgrass
Cohort of Chaos,SatO,10,"4th level, scion of the outer planes (chaotic outer plane)",,No,See 5etools link for full description,https://5e.tools/feats.html#cohort%20of%20chaos_sato
Confidence,TLotRR,80,,,No,"Overcoming difficulties has reinforced your spirit and renewed your faith in a brighter future.Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.You gain proficiency in saving throws using Intelligence, Wisdom, or Charisma (your choice).",https://5e.tools/feats.html#confidence_tlotrr
Coven Witch,ObojimaTallGrass,162,You must be a member of a witches coven,,No,"You have become an official member of a witches coven.You gain the following benefits:Increase your Intelligence or Wisdom by 1, to a maximum of 20.You learn two random common and uncommon potion recipes from your coven.You learn two 1st-level spells of your choice.
The 1st-level spells must be from the divination, conjuration, or transmutation school of magic.
You can cast each of these spells once without expending a spell slot.
You regain the ability to cast these two spells in this way when you finish a long rest.
You can also cast these spells using spell slots you have of the appropriate level.
The spells' spellcasting ability is the ability increased by this feat.",https://5e.tools/feats.html#coven%20witch_obojimatallgrass
Craft,TLotRR,68,,,No,You gain a craft slot and a craft of your choice from the Scholar's Crafts list (see Crafts).,https://5e.tools/feats.html#craft_tlotrr
Crossbow Expert,PHB,165,,,No,"Thanks to extensive practice with the crossbow, you gain the following benefits:You ignore the loading quality of crossbows with which you are proficient.Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls.When you use the Attack action and attack with a one-handed weapon, you can use a bonus action to attack with a hand crossbow you are holding.",https://5e.tools/feats.html#crossbow%20expert_phb
Crusher,TCE,79,,,No,"You are practiced in the art of crushing your enemies, granting you the following benefits:Increase your Strength or Constitution by 1, to a maximum of 20.Once per turn, when you hit a creature with an attack that deals bludgeoning damage, you can move it 5 feet to an unoccupied space, provided the target is no more than one size larger than you.When you score a critical hit that deals bludgeoning damage to a creature, attack rolls against that creature are made with advantage until the start of your next turn.",https://5e.tools/feats.html#crusher_tce
Dark for Dark Business,TLotRR,83,,,No,"Your kind is not troubled by mere darkness in itself, as most members of other cultures are.
On the contrary, you have grown to like the dark better than the light, finding yourself at ease in its cold embrace.Increase your Wisdom score by 1, to a maximum of 20.Dim light doesn't impose disadvantage on your Wisdom (Perception) checks relying on sight.When you are in dim light, in darkness, or underground, and you make an ability check, attack roll, or saving throw, you can do so with advantage.
You can use this virtue a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#dark%20for%20dark%20business_tlotrr
Deadly Archery,TLotRR,85,,,No,"Elves possess a natural talent for hitting the mark when using their bows.
You have honed this talent almost to perfection, and your arrows find their target with uncanny precision.Increase your Dexterity score by 1, to a maximum of 20.As a bonus action, you can give yourself advantage on your next ranged weapon attack roll on the current turn.
You can use this bonus action only if you haven't moved during this turn, and after you use the bonus action, your speed is 0 until the end of the current turn.",https://5e.tools/feats.html#deadly%20archery_tlotrr
Defensive Duelist,PHB,165,Dexterity 13 or higher,,No,"When you are wielding a finesse weapon with which you are proficient and another creature hits you with a melee attack, you can use your reaction to add your proficiency bonus to your AC for that attack, potentially causing the attack to miss you.",https://5e.tools/feats.html#defensive%20duelist_phb
Defiance,TLotRR,89,,,No,"Many realms have risen and fallen in the Lone-lands of Eriador since the Elder Days.
Only ruins remain to mark their boundaries.
Yet, the Bree-men have endured, revealing an unexpected reserve of strength and vigour in the face of adversity.Increase your Constitution score by 1, to a maximum of 20.As a bonus action, you can spend one Hit Die to heal yourself.",https://5e.tools/feats.html#defiance_tlotrr
Desperate Courage,TLotRR,89,,,No,"You have lived all your life on the edge of the Wild, but the worst news that has come to Bree in your time concerned only brigands or packs of hungry wolves.
You don't know yet what the likes of you can do against the Shadow in the East, but you are sure you will stand against it, no matter the cost.Increase one ability score of your choice by 1, to a maximum of 20.Whenever you gain Shadow points, you also gain inspiration.",https://5e.tools/feats.html#desperate%20courage_tlotrr
Divinely Favored,DSotDQ,32,"4th level, Dragonlance Campaign",,No,See 5etools link for full description,https://5e.tools/feats.html#divinely%20favored_dsotdq
Dour-Handed,TLotRR,80,,,No,"Your blows have become more forceful and your aim steadier, allowing you to do greater harm.Increase your Strength score by 1, to a maximum of 20.You gain a +1 bonus to weapon damage rolls using Strength.",https://5e.tools/feats.html#dour-handed_tlotrr
Dragon Fear,XGE,74,Dragonborn,,No,"When angered, you radiate menace.
You gain the following benefits:Increase your Strength, Constitution, or Charisma by 1, to a maximum of 20.Instead of exhaling destructive energy, you can expend a use of your Breath Weapon trait to roar, forcing each creature of your choice within 30 feet of you to make a Wisdom saving throw (DC 8 + your proficiency bonus + your Charisma modifier).
A target automatically succeeds on the save if it can't hear or see you.
On a failed save, a target becomes frightened of you for 1 minute.
If the frightened target takes any damage, it can repeat the saving throw, ending the effect on itself on a success.",https://5e.tools/feats.html#dragon%20fear_xge
Dragon Hide,XGE,74,Dragonborn,,No,"You manifest scales and claws reminiscent of your draconic ancestors.
You gain the following benefits:Increase your Strength, Constitution, or Charisma by 1, to a maximum of 20.Your scales harden.
While you aren't wearing armor, you can calculate your AC as 13 + your Dexterity modifier.
You can use a shield and still gain this benefit.You grow retractable claws from the tips of your fingers.
Extending or retracting the claws requires no action.
The claws are natural weapons, which you can use to make unarmed strikes.
If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of the normal bludgeoning damage for an unarmed strike.",https://5e.tools/feats.html#dragon%20hide_xge
Dragon-Slayer,TLotRR,82,,,No,"The legend of Bard the Bowman has inspired many young men and women from Dale, so much that they long to prove their worth with the killing of a great monster.
As many more before you, you have long pondered on the ways to deal with creatures of size, hoping one day to gain renown defeating them.Increase your Strength or Dexterity by 1, to a maximum of 20.You have advantage on attack rolls against Large or larger creatures.",https://5e.tools/feats.html#dragon-slayer_tlotrr
Drow High Magic,XGE,74,Elf (drow),,No,"You learn more of the magic typical of dark elves.
You learn the detect magic spell and can cast it at will, without expending a spell slot.
You also learn levitate and dispel magic, each of which you can cast once without expending a spell slot.
You regain the ability to cast those two spells in this way when you finish a long rest.
Charisma is your spellcasting ability for all three spells.",https://5e.tools/feats.html#drow%20high%20magic_xge
Dual Wielder,PHB,165,,,No,"You master fighting with two weapons, gaining the following benefits:You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand.You can use two-weapon fighting even when the one-handed melee weapons you are wielding aren't light.You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one.",https://5e.tools/feats.html#dual%20wielder_phb
Dungeon Delver,PHB,166,,,No,"Alert to the hidden traps and secret doors found in many dungeons, you gain the following benefits:You have advantage on Wisdom (Perception) and Intelligence (Investigation) checks made to detect the presence of secret doors.You have advantage on saving throws made to avoid or resist traps.You have resistance to the damage dealt by traps.Traveling at a fast pace doesn't impose the normal -5 penalty on your passive Wisdom (Perception) score.",https://5e.tools/feats.html#dungeon%20delver_phb
Durable,PHB,166,,,No,"Hardy and resilient, you gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.When you roll a Hit Die to regain hit points, the minimum number of hit points you regain from the roll equals twice your Constitution modifier (minimum of 2).",https://5e.tools/feats.html#durable_phb
Durin's Way,TLotRR,84,,,No,"The Dwarves have fought many wars in deep places beneath the earth.
You have been taught how to best defend yourself while fighting underground.
As a result, you know how to exploit corners, darkness and other natural obstacles to your advantage.Increase your Dexterity score by 1, to a maximum of 20.When you have half or three-quarters cover, you gain an additional +1 bonus to AC and Dexterity saving throws.Other creatures do not gain advantage on attack rolls against you as a result of being unseen by you.",https://5e.tools/feats.html#durin's%20way_tlotrr
Dwarf-Friend,TLotRR,82,,,No,"The days of the Dragon have forged a strong alliance between the Bardings and the Dwarves of Erebor.Increase your Charisma score by 1, to a maximum of 20.Your proficiency bonus is doubled for any Charisma (Persuasion) check you make.
In addition, you have advantage on Charisma (Persuasion) checks made when interacting with Dwarves.Increase the Fellowship rating of your Company by 1.When you are within 5 feet of a friendly Dwarf and at least one of you isn't incapacitated, and a creature you or the Dwarf can see attacks you or the Dwarf, you can spend a Fellowship point to impose disadvantage on the attack roll.",https://5e.tools/feats.html#dwarf-friend_tlotrr
Dwarven Fortitude,XGE,74,Dwarf,,No,"You have the blood of dwarf heroes flowing through your veins.
You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.Whenever you take the Dodge action in combat, you can spend one Hit Die to heal yourself.
Roll the die, add your Constitution modifier, and regain a number of hit points equal to the total (minimum of 1).",https://5e.tools/feats.html#dwarven%20fortitude_xge
Elbereth Gilthoniel!,TLotRR,85,,,No,"The name of Elbereth, the Queen of the Stars, is revered by all the Eldar still dwelling in Middle-earth.
You have resorted to calling on her name in moments of great need, asking the Kindler to bestow her grace upon you.Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.When you are not miserable and make an ability check, attack roll, or saving throw, you can do so with advantage.
You can use this virtue a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#elbereth%20gilthoniel!_tlotrr
Eldritch Adept,TCE,79,Spellcasting or Pact Magic feature,,No,"Studying occult lore, you learn one Eldritch Invocation option of your choice from the warlock class.
Your spellcasting ability for the invocation is Intelligence, Wisdom, or Charisma (choose when you select this feat).
If the invocation has a prerequisite of any kind, you can choose that invocation only if you're a warlock who meets the prerequisite.Whenever you gain a level, you can replace the invocation with another one from the warlock class.",https://5e.tools/feats.html#eldritch%20adept_tce
Elemental Adept,PHB,166,The ability to cast at least one spell,,No,"When you gain this feat, choose one of the following damage types:
acid, cold, fire, lightning, or thunder.Spells you cast ignore resistance to damage of the chosen type.
In addition, when you roll damage for a spell you cast that deals damage of that type, you can treat any 1 on a damage die as a 2.You can select this feat multiple times.
Each time you do so, you must choose a different damage type.",https://5e.tools/feats.html#elemental%20adept_phb
Elven Accuracy,XGE,74,Elf or half-elf,,No,"The accuracy of elves is legendary, especially that of elf archers and spellcasters.
You have uncanny aim with attacks that rely on precision rather than brute force.
You gain the following benefits:Increase your Dexterity, Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.Whenever you have advantage on an attack roll using Dexterity, Intelligence, Wisdom, or Charisma, you can reroll one of the dice once.",https://5e.tools/feats.html#elven%20accuracy_xge
Elvish Spirit,TLotRR,86,,,No,"The spirit of Elves is so strong that their bodies recover swiftly from many ills and injuries.
You can recover from your exertions while awake, finding repose in the secret way of your folk.Increase your Constitution score by 1, to a maximum of 20.If you meditate for at least 4 hours, you can reduce your exhaustion level by 1 and regain all lost hit points.
You cannot use this virtue if you've had a long rest within the last 24 hours, or if you have 0 hit points.
Once you use this virtue, you cannot use it again until you finish a long rest.",https://5e.tools/feats.html#elvish%20spirit_tlotrr
Ember of the Fire Giant,BGG,17,"4th level, strike of the giants (fire strike)",,No,"You've manifested the fiery combat emblematic of fire giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Constitution, or Wisdom by 1, to a maximum of 20.Born of Flame.
You have resistance to fire damage.Searing Ignition.
When you take the Attack action on your turn, you can replace a single attack with a magical burst of flame.
Each creature of your choice in a 15-foot-radius sphere centered on you must make a Dexterity saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat).
On a failed save, a creature takes fire damage equal to 1d8 + your proficiency bonus, and it has the blinded condition until the start of your next turn.
On a successful save, the creature takes half as much damage only.
You can use your Searing Ignition a number of times equal to your proficiency bonus (but no more than once per turn), and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#ember%20of%20the%20fire%20giant_bgg
Endurance of the Ranger,TLotRR,90,,,No,"They say that a Ranger with a clear trail to follow can never be weary.
You hope the saying will prove true, as it will be your fate to often travel in haste, to seek distant lands on urgent errands or to relentlessly hunt your enemies.Increase your Constitution score by 1, to a maximum of 20.You have advantage on Constitution saving throws.",https://5e.tools/feats.html#endurance%20of%20the%20ranger_tlotrr
Fade Away,XGE,74,Gnome,,No,"Your people are clever, with a knack for illusion magic.
You have learned a magical trick for fading away when you suffer harm.
You gain the following benefits:Increase your Dexterity or Intelligence by 1, to a maximum of 20.Immediately after you take damage, you can use a reaction to magically become invisible until the end of your next turn or until you attack, deal damage, or force someone to make a saving throw.
Once you use this ability, you can't do so again until you finish a short or long rest.",https://5e.tools/feats.html#fade%20away_xge
