"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Bugbear Commander","Medium","Humanoid (Bugbear, Support)","any alignment","18 (plate)","97 (15d8 + 30)","30 ft.","18","15","15","17","14","15","Wis +5, Cha +5","Intimidation +5, Persuasion +5, Stealth +5, Survival +5","","","","","darkvision 60 ft., passive Perception 12","Common, Goblin","5 (1,800 XP)","Commander's Inspiration. Allied Humanoids within 30 feet of the commander who can see or hear them have advantage on Wisdom and Charisma saving throws and gain a +1 bonus to weapon attack and damage rolls.","Multiattack. The commander makes two Greatsword or two Longbow attacks.
Greatsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage, and one ally within 30 feet of the target who can see the commander has advantage on their next melee attack roll made against the target before the start of the commander's next turn.
Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.
Bark Orders (Recharge 6). Each ally within 60 feet of the commander who can hear and understand them can use a reaction to move up to their speed and make a weapon attack.","","Bolstering Pride. When another creature within 60 feet of the commander who can hear and understand them makes a saving throw, the commander can give that creature advantage on the saving throw.","","","","","",""
"Bugbear Commander","Medium","Humanoid (Bugbear, Support)","any alignment","18 (plate)","97 (15d8 + 30)","30 ft.","18","15","15","17","14","15","Wis +5, Cha +5","Intimidation +5, Persuasion +5, Stealth +5, Survival +5","","","","","darkvision 60 ft., passive Perception 12","Common, Goblin","5 (1,800 XP)","Commander's Inspiration. Allied Humanoids within 30 feet of the commander who can see or hear them have advantage on Wisdom and Charisma saving throws and gain a +1 bonus to weapon attack and damage rolls.","Multiattack. The commander makes two Greatsword or two Longbow attacks.
Greatsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage, and one ally within 30 feet of the target who can see the commander has advantage on their next melee attack roll made against the target before the start of the commander's next turn.
Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.
Bark Orders (Recharge 6). Each ally within 60 feet of the commander who can hear and understand them can use a reaction to move up to their speed and make a weapon attack.","","Bolstering Pride. When another creature within 60 feet of the commander who can hear and understand them makes a saving throw, the commander can give that creature advantage on the saving throw.","","","","","",""
"Bugbear Gardener","Medium","Humanoid (Goblinoid)","chaotic evil","16 (hide armor, shield)","27 (5d8 + 5)","30 ft.","15","14","13","8","11","9","","Stealth +6, Survival +2","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1 (200 XP)","Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).
Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.","Glaive. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 13 (2d10 + 2) slashing damage.
Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.","","","","","","","",""
"Bugbear Lieutenant","Medium","Humanoid (Goblinoid)","chaotic evil","16 (hide armor, shield)","27 (5d8 + 5)","30 ft.","15","14","13","8","11","9","","Stealth +6, Survival +2","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1 (200 XP)","Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).
Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.","Longsword. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 11 (2d8 + 2) slashing damage, or 13 (2d10 + 2) slashing damage if used with both hands.
Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.","","","","","","","",""
"Bugbear Predator","Medium","Humanoid (Bugbear, Ambusher)","any alignment","14 (leather armor)","65 (10d8 + 20)","30 ft.","15","17","15","13","15","11","Dex +5","Perception +6, Stealth +7, Survival +4","","","","","darkvision 60 ft., passive Perception 16","Common, Goblin","3 (700 XP)","Bugbear's Inspiration. Allied Humanoids within 15 feet of the predator who can see or hear them have advantage on Wisdom and Charisma saving throws.
Dirty Fighting. When the predator hits a creature with a melee weapon attack and has advantage on the attack roll, the target must succeed on a DC 12 Constitution saving throw or be blinded until the end of their next turn.","Multiattack. The predator makes two Curved Dagger or two Longbow attacks. If both attacks hit the same target, the predator has advantage on their next attack roll made against the target before the end of the predator's next turn.
Curved Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 8 (2d4 + 3) piercing damage.
Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage.
Go for the Eyes (1/Day). Each ally within 30 feet of the predator who can hear and understand them gains the predator's Dirty Fighting trait until the start of the predator's next turn.","Guerilla Training. The predator takes the Dash or Hide action.","","","","","","",""
"Bugbear Regular","Medium","Humanoid (Bugbear, Minion)","any alignment","13 (leather armor)","8","30 ft.","15","14","14","11","12","10","","","","","","","darkvision 60 ft., passive Perception 11","Common, Goblin","1 (40 XP)","Bodyblock. When a Medium or smaller enemy is within 5 feet of three or more regulars who aren't prone or incapacitated, that enemy can't see beyond a range of 15 feet.
Bugbear's Encouragement. Allied Humanoids within 5 feet of the regular who can see or hear them gain a cumulative +1 bonus to Wisdom saving throws.
Minion. If the regular takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the regular takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Bullyclub (Group Attack). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.","","","","","","","",""
"Bugbear Roughneck","Medium","Humanoid (Bugbear, Brute)","any alignment","14 (hide armor)","26 (4d8 + 8)","30 ft.","16","14","15","10","13","12","","Athletics +5, Stealth +4, Survival +3","","","","frightened","darkvision 60 ft., passive Perception 11","Common, Goblin","1 (200 XP)","Bugbear's Inspiration. Allied Humanoids within 15 feet of the roughneck who can see or hear them have advantage on Wisdom and Charisma saving throws.","Multiattack (Battle Fury Only). The roughneck makes two Handaxe attacks.
Handaxe. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d6 + 3) slashing damage.
Bugbear Battle Cry (1/Day). Each ally within 15 feet of the roughneck who can hear and understand them gains advantage on attack rolls until the start of the roughneck's next turn.","Battle Fury (1/Day). The roughneck enters a furious state that lasts for 1 minute. While in this state, the roughneck can take the Multiattack action on their turn, and they have resistance to bludgeoning, piercing, and slashing damage from mundane attacks.","","","","","","",""
"Bugbear Stalker","Medium","Fey (Goblinoid)","chaotic evil","15","65 (10d8 + 20)","30 ft.","17","14","14","11","12","11","Con +4, Wis +3","Stealth +6, Survival +3","","","","","darkvision 60 ft., passive Perception 11","Common, Goblin","3 (700 XP)","Abduct. The bugbear needn't spend extra movement to move a creature it is grappling.","Multiattack. The bugbear makes two Javelin or Morningstar attacks.
Javelin. Melee or Ranged Attack Roll: +5, reach 10 ft. or range 30/120 ft. Hit: 13 (3d6 + 3) Piercing damage.
Morningstar. Melee Attack Roll: +5 (with Advantage if the target is Grappled by the bugbear), reach 10 ft. Hit: 12 (2d8 + 3) Piercing damage.","Quick Grapple. Dexterity Saving Throw: DC 13, one Medium or smaller creature the bugbear can see within 10 feet. Failure: The target has the Grappled condition (escape DC 13).","","","","","","Forest, Grassland, Planar (Feywild), Underdark","Individual, Armaments"
"Bugbear Warden","Medium","Humanoid (Bugbear, Retainer)","any alignment","15 (medium armor)","Eight times their level (number of d10 Hit Dice equal to their level)","30 ft.","12","16","10","10","12","10","Str +PB, Dex +PB, Con +PB, Int +PB, Wis +PB, Cha +PB","Perception +1 plus PB, Stealth +3 plus PB, Survival +1 plus PB","","","","","darkvision 60 ft., passive Perception 11 plus PB","Common, Goblin","—","","Signature Attack (Spiked Bow). Melee or Ranged Weapon Attack: +3 plus PB to hit, reach 5 ft. or range 80/320 ft., one target. Hit: 2d6 plus PB piercing damage. Beginning at 7th level, the warden can make this attack twice, instead of once, when they take the Attack action on their turn.
3rd Level: Halting Shot (3/Day). As an action, the warden makes a signature attack. On a hit, the target's speed is reduced to 0 until the end of their next turn.
5th Level: Presence of Inspiration (3/Day). As a bonus action, the warden inspires each ally within 30 feet of them who can hear them, granting them advantage on attack rolls until the start of the warden's next turn.
7th Level: Enraged Barrage (1/Day). As an action, the warden makes a signature attack. Each ally within 30 feet of them who can see them can use a reaction to make a weapon attack, cast a cantrip with a casting time of 1 action, or manifest a 1st-order power with a manifestation time of 1 action.","","","","","","","",""
"Bugbear Warrior","Medium","Fey (Goblinoid)","chaotic evil","14","33 (6d8 + 6)","30 ft.","15","14","13","8","11","9","","Stealth +6, Survival +2","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1 (200 XP)","Abduct. The bugbear needn't spend extra movement to move a creature it is grappling.","Grab. Melee Attack Roll: +4, reach 10 ft. Hit: 9 (2d6 + 2) Bludgeoning damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12).
Light Hammer. Melee or Ranged Attack Roll: +4 (with Advantage if the target is Grappled by the bugbear), reach 10 ft. or range 20/60 ft. Hit: 9 (3d4 + 2) Bludgeoning damage.","","","","","","","Forest, Grassland, Planar (Feywild), Underdark","Individual, Armaments"
"Bulezau","Medium","Fiend (Demon)","chaotic evil","14 (natural armor)","52 (7d8 + 21)","40 ft.","15","14","17","8","9","6","","","","cold, fire, lightning","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 9","Abyssal, telepathy 60 ft.","3 (700 XP)","Rotting Presence. When any creature that isn't a demon starts its turn within 30 feet of the bulezau, that creature must succeed on a DC 13 Constitution saving throw or take 3 (1d6) necrotic damage.
Standing Leap. The bulezau's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Sure-Footed. The bulezau has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","Barbed Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 8 (1d12 + 2) piercing damage plus 4 (1d8) necrotic damage. If the target is a creature, it must succeed on a DC 13 Constitution saving throw against disease or become poisoned until the disease ends. While poisoned in this way, the target sports festering boils, coughs up flies, and sheds rotting skin, and the target must repeat the saving throw after every 24 hours that elapse. On a successful save, the disease ends. On a failed save, the target's hit point maximum is reduced by 4 (1d8). The target dies if its hit point maximum is reduced to 0.","","","","","","","",""
"Bullywug Croaker","Medium","Humanoid (Bullywug)","neutral evil","15 (hide armor, shield)","33 (6d8 + 6)","20 ft., swim 40 ft.","14","12","12","7","15","10","Con +3","Perception +4, Stealth +3","","","","","passive Perception 14","Bullywug","2 (450 XP)","Amphibious. The croaker can breathe air and water.
Speak with Frogs and Toads. The croaker can communicate simple concepts to frogs and toads when it speaks in Bullywug.
Standing Leap. The croaker's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Swamp Camouflage. The croaker has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.","Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.
Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.
Glaaar-pat (3/Day). The croaker sings a song of marshy doom. Each chosen creature within 30 feet of the croaker that can hear the song must make a DC 12 Wisdom saving throw, taking 9 (2d8) psychic damage on a failed save, or half as much damage on a successful one. A creature that fails this saving throw also has disadvantage on Constitution saving throws until the end of its next turn.
Rooooo-glog (1/Day). The croaker sings an ode to an elder froghemoth. Each bullywug within 30 feet of the croaker that can hear the song gains 10 temporary hit points.","","","","","","","",""
"Bullywug Royal","Medium","Humanoid (Bullywug)","neutral evil","15 (hide armor, shield)","52 (8d8 + 16)","20 ft., swim 40 ft.","16","12","14","10","11","14","Str +5, Dex +3","Athletics +5, Intimidation +4, Stealth +3","","","","","passive Perception 10","Bullywug","3 (700 XP)","Amphibious. The royal can breathe air and water.
Brute. A melee weapon deals one extra die of its damage when the royal hits with it (included in the attack).
Frog Rider. The royal has advantage on melee attacks made while riding a frog mount.
Speak with Frogs and Toads. The royal can communicate simple concepts to frogs and toads when it speaks in Bullywug.
Standing Leap. The royal's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Swamp Camouflage. The royal has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.","Multiattack. The royal makes two attacks: one with its royal spear and one with its bite.
Royal Spear. Melee or Ranged Weapon Attack: +5 to hit, reach 10 ft. or range 20/60 ft., one target. Hit: 10 (2d6 + 3) piercing damage, or 12 (2d8 + 3) piercing damage if used with two hands to make a melee attack. If the target is a Medium or smaller creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.
Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.
Croaked Decree (1/Day). The royal makes a loud pronouncement. Each bullywug within 60 feet of the royal that can hear the pronouncement has advantage on its next attack roll.","","","","","","","",""
"Burrowling","Small","Humanoid (Burrowling)","lawful neutral","13","27 (6d6 + 6)","30 ft., burrow 10 ft.","10","16","12","9","12","13","","Perception +3","","","","","darkvision 60 ft., passive Perception 13","Common","1/2 (100 XP)","Burrow Awareness. A burrowling has advantage on Wisdom (Perception) checks if at least one other burrowling within 10 feet of it isn't incapacitated.
Pack Tactics. The burrowling has advantage on attack rolls against a creature if at least one of the burrowling's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The burrowling makes one Bite attack and one Claw attack.
Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.
Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) slashing damage.
Sling. Ranged Weapon Attack: +5 to hit, range 30/120 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage.","","","","","","","Farmland, Forest",""
"Burrowshark","Medium","Humanoid (Human)","neutral evil","18 (plate armor)","82 (11d8 + 33)","30 ft.","18","12","16","10","11","13","","Animal Handling +2, Athletics +6, Intimidation +3, Perception +2","","","","","passive Perception 12","Common","4 (1,100 XP)","Bond of the Black Earth. The burrowshark is magically bound to a bulette trained to serve as its mount. While mounted on its bulette, the burrowshark shares the bulette's senses and can ride the bulette while it burrows. The bonded bulette obeys the burrowshark's commands. If its mount dies, the burrowshark can train a new bulette to serve as its bonded mount, a process requiring a month.","Multiattack. The burrowshark makes three melee attacks.
Spear. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d6 + 4) piercing damage, or 8 (1d8 + 4) piercing damage if used with two hands to make a melee attack.","","Unyielding. When the burrowshark is subjected to an effect that would move it, knock it prone, or both, it can use its reaction to be neither moved nor knocked prone.","","","","","",""
"Cackler","Small","Fiend (Demon)","chaotic evil","15 (natural armor)","10 (3d6)","30 ft.","9","16","11","11","7","12","","Deception +3, Perception +0, Performance +3","","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","poison","poisoned","darkvision 120 ft., passive Perception 10","Abyssal, Common","1/2 (100 XP)","Innate Spellcasting. The cackler's innate spellcasting ability is Charisma (spell save DC 11, +3 to hit with spell attacks). The cackler can innately cast the following spells, requiring no material components:At will: fire bolt1/day: Tasha's hideous laughter
Last Laugh. When the cackler dies, it releases a dying laugh that scars the minds of other nearby creatures. Each creature within 10 feet of the cackler must succeed on a DC 11 Wisdom saving throw or take 2 (1d4) psychic damage.
Mimicry. The cackler can mimic any sounds it has heard, including voices. A creature that hears the sounds can tell they are imitations with a successful DC 11 Wisdom (Insight) check.","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.
Spiked Chain. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","","","","","","","",""
"Caithas","Medium","Humanoid (Tiefling, Artillery)","neutral evil","20 (studded leather)","104 (16d8 + 32)","30 ft., fly 60 ft.","10","26","14","14","26","12","Dex +11, Con +5, Wis +11","Perception +11, Stealth +11, Survival +11","","acid, fire, necrotic","","","blindsight 30 ft., darkvision 120 ft., passive Perception 21","Common, Draconic, Infernal","7 (2,900 XP)","Forest Defense. When Caithas is in forest terrain and is targeted by a ranged attack by an attacker he can see, the attack has disadvantage.","Multiattack. Caithas makes three Scimitar or three Scaled Longbow attacks.
Scimitar. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.
Scaled Longbow. Ranged Weapon Attack: +11 to hit, range 150/600 ft., one target. Hit: 12 (1d8 + 8) piercing damage plus 7 (2d6) necrotic damage. If the target is a creature who hasn't attacked Caithas since the end of his last turn, he has advantage on the attack roll.
Manifestation (Recharge 5–6). Caithas calls on his connection with Qazyldrath, and the dragon manifests in Caithas's space and exhales dark energy in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 18 (4d8) acid damage plus 18 (4d8) necrotic damage on a failed save, or half as much damage on a successful one. Additionally, that area is filled with magical darkness for 1 minute. A creature with darkvision can't see through this darkness, and supernatural light can't illuminate it. The manifestation of Qazyldrath then disappears.","Gaze of the Decay (1/Day). Caithas chooses a creature he can see within 60 feet of him, magically marking them for 24 hours. While Caithas and the marked creature are on the same plane of existence, he always knows the distance and direction to them. Additionally, a marked creature can't hide from him, and if the marked creature becomes invisible, they gain no benefit from that condition against Caithas.","","","","","","",""
"Camel","Large","Beast (Controller)","unaligned","11","28 (3d10 + 12)","50 ft.","17","13","19","4","12","5","Str +5, Con +6","","","","","","passive Perception 11","—","1/2 (100 XP)","Beast of Burden. The camel is considered to be one size larger for the purpose of determining their carrying capacity.
Desert Dweller. The camel ignores difficult terrain created by dirt or sand. They can tolerate temperatures as high as 120° Fahrenheit.
Metabolic Reserves. The camel can go without water for up to 7 days, and without food for up to 90 days.
Stubborn. The camel has advantage on saving throws made to avoid or end the charmed, frightened, or prone condition on themself.","Kick. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) bludgeoning damage, and the target must succeed on a DC 13 Strength saving throw or be knocked prone.","Bilious Spit (Recharge 5–6). The camel vomits bile onto a creature they can see within 10 feet of them. The target must succeed on a DC 14 Constitution saving throw or be poisoned for 1 minute (save ends at end of turn). If the target fails the save by 5 or more, they are also blinded while poisoned in this way.","","","","","","",""
"Camel","Large","Beast (Controller)","unaligned","11","28 (3d10 + 12)","50 ft.","17","13","19","4","12","5","Str +5, Con +6","","","","","","passive Perception 11","—","1/2 (100 XP)","Beast of Burden. The camel is considered to be one size larger for the purpose of determining their carrying capacity.
Desert Dweller. The camel ignores difficult terrain created by dirt or sand. They can tolerate temperatures as high as 120° Fahrenheit.
Metabolic Reserves. The camel can go without water for up to 7 days, and without food for up to 90 days.
Stubborn. The camel has advantage on saving throws made to avoid or end the charmed, frightened, or prone condition on themself.","Kick. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) bludgeoning damage, and the target must succeed on a DC 13 Strength saving throw or be knocked prone.","Bilious Spit (Recharge 5–6). The camel vomits bile onto a creature they can see within 10 feet of them. The target must succeed on a DC 14 Constitution saving throw or be poisoned for 1 minute (save ends at end of turn). If the target fails the save by 5 or more, they are also blinded while poisoned in this way.","","","","","","",""
"Camel Companion","Large","Beast (Companion)","unaligned","11 plus PB (natural armor)","7 + seven times caregiver's level (number of d8 Hit Dice equal to their caregiver's level)","50 ft.","17","13","15","4","12","5","Str +3 plus PB, Con +2 plus PB","Athletics +3 plus PB, Survival +1 plus PB","","","","","passive Perception 11","—","—","Beast of Burden. The camel is considered to be one size larger for the purpose of determining their carrying capacity.
Desert Dweller. The camel ignores difficult terrain created by dirt or sand. They can tolerate temperatures as high as 120° Fahrenheit.
Metabolic Reserves. The camel can go without water for up to 7 days, and without food for up to 90 days.
Stubborn. The camel has advantage on saving throws made to avoid or end the charmed, frightened, or prone condition on themself.
Tall and Narrow. If the camel's caregiver is Medium or smaller, the caregiver can occupy the camel's space and vice versa, and it doesn't count as difficult terrain for them.","Signature Attack (Bite or Kick). Melee Weapon Attack: +3 plus PB to hit, reach 5 ft., one target. Hit: 1d6 plus PB piercing damage (Bite) or bludgeoning damage (Kick).
1st Level: Bilious Spit (2 Ferocity). The camel spits at a creature they can see within 10 feet of them. The target must succeed on a DC 10 plus PB Constitution saving throw or be poisoned until the start of the camel's next turn.
3rd Level: Punishing Shake (5 Ferocity). The camel moves up to their speed and makes a signature Bite attack against one target. If the attack hits and the target is Medium or smaller, the camel also shakes and flings them up to 10 feet away horizontally. If the target hits a solid surface, they are knocked prone and take an extra PB bludgeoning damage.
5th Level: Trample (8 Ferocity). The camel moves up to their speed. During this move, they can move through other creature's spaces. Each Large or smaller creature whose space the camel passes through must make a DC 10 plus PB Strength saving throw. On a failed save, a creature takes PBd6 bludgeoning damage and is knocked prone. On a successful save, a creature takes half as much damage and isn't knocked prone.","","Ungulate Urgency. If the camel's caretaker falls prone and the camel can see them, the camel moves up to their speed toward their caregiver. If they end this movement in the same space as their caregiver, attacks against the caregiver have disadvantage until either the caregiver is no longer prone, the caregiver is no longer in the same space as the camel, or the start of the camel's next turn, whichever comes first.","","","","","",""
"Canoloth","Medium","Fiend (Yugoloth)","neutral evil","16 (natural armor)","120 (16d8 + 48)","50 ft.","18","10","17","5","17","12","","Investigation +3, Perception +9","","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","acid, poison","poisoned","truesight 120 ft., passive Perception 19","Abyssal, Infernal, telepathy 60 ft.","8 (3,900 XP)","Dimensional Lock. Other creatures can't teleport to or from a space within 60 feet of the canoloth. Any attempt to do so is wasted.
Magic Resistance. The canoloth has advantage on saving throws against spells and other magical effects.
Uncanny Senses. The canoloth can't be surprised unless it's incapacitated.","Multiattack. The canoloth makes one Bite or Tongue attack and one Claw attack.
Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 18 (4d8) force damage.
Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage plus 9 (2d8) force damage.
Tongue. Melee Weapon Attack: +7 to hit, reach 30 ft., one target. Hit: 10 (1d12 + 4) piercing damage plus 7 (2d6) acid damage. If the target is Medium or smaller, it is grappled (escape DC 15), pulled up to 30 feet toward the canoloth, and restrained until the grapple ends. The canoloth can grapple one target at a time with its tongue.","","","","","","","Coastal, Underdark, Urban",""
"Canon Athenodorus","Medium","Humanoid (Human, Controller)","lawful evil","18 (plate)","65 (10d8 + 20)","30 ft.","20","10","14","11","20","13","Con +4, Wis +7, Cha +3","Athletics +7, Deception +3, Insight +7, Religion +4","","","","","passive Perception 15","Common","3 (700 XP)","Exploit Opening (3/Day). When Athenodorus makes an attack, he has advantage on the attack roll.
Spellcasting (Utility). In addition to any other spells in this stat block, Athenodorus can cast the following spells, using Wisdom as the spellcasting ability (spell save DC 15):At will: light A, mending A1/day each: divination A, glyph of warding +","Star of Iron. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, they are hexed until the end of their next turn. Whenever a creature hexed in this way makes an attack roll or saving throw, they must roll a d4 and subtract the number rolled from the attack roll or saving throw.
Iron Ring (2/Day). If not in the Cyst, Athenodorus teleports to the Cyst. If in the Cyst, he teleports to a place he has visited.
Unholy Fire (2/Day; 3rd-Level Spell). Athenodorus calls unholy black flames from the depths at a point he can see within 90 feet of him. Each enemy in a 15-foot-radius, 30-foot-high cylinder centered on that point must make a DC 15 Dexterity saving throw. On a failed save, a creature takes 14 (4d6) fire damage plus 14 (4d6) necrotic damage and is moved up to 15 feet horizontally. On a successful save, a creature takes half as much damage and isn't moved.","Blessing of Ajax (2/Day). Athenodorus chooses a creature he can see within 30 feet of him. The target regains 14 (2d8 + 5) hit points and Athenodorus can end one of the following conditions affecting the target: blinded, charmed, dazed, deafened, frightened, paralyzed, poisoned, or stunned.","","","","","","",""
"Cartographer's Agent","Medium","Humanoid (Any Race)","lawful evil","16 (studded leather)","104 (19d8 + 19)","30 ft.","13","18","12","17","14","15","Dex +7, Int +6","Acrobatics +7, Deception +5, Investigation +6, Perception +5, Sleight of Hand +10, Stealth +10","","","","","passive Perception 15","Common, Thieves' cant","5 (1,800 XP)","Cunning Action. On each of its turns, the agent can use a bonus action to take the Dash, Disengage, or Hide action.
Evasion. If the agent is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the agent instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.
Expert Cartography. The agent has a +3 bonus to any ability check it makes using cartographer's tools, in addition to the ability modifier used for the check.
Sneak Attack (1/Turn). The agent deals an extra 21 (6d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the agent that isn't incapacitated and the agent doesn't have disadvantage on the attack roll.","Multiattack. The agent makes two attacks with its dagger.
Dagger. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4+ 4) piercing damage.
Light Crossbow. Ranged Weapon Attack: +7 to hit, range 80/320 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","","Uncanny Dodge. The agent halves the damage that it takes from an attack that hits it. The agent must be able to see the attacker.","","","","","",""
"Ceemal","Medium","Monstrosity (Support)","chaotic evil","15 (natural armor)","78 (12d8 + 24)","30 ft.","10","18","14","16","18","13","Con +4, Int +5, Wis +6","Medicine +6, Nature +5, Perception +6, Stealth +8, Survival +6","","","","","darkvision 60 ft., passive Perception 16","Common","3 (700 XP)","Octopodan Camouflage. Ceemal can attempt to hide even when they are only lightly obscured by foliage, heavy rain, falling snow, mist, or other natural phenomena.","Multiattack. Ceemal makes two Fillet Knife or two Acid Spit attacks.
Fillet Knife. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage. If the target is a creature, another Abomination within 5 feet of the target regains hit points equal to half the damage dealt.
Acid Spit. Ranged Weapon Attack: +6 to hit, range 20/40 ft., one target. Hit: 8 (1d8 + 4) acid damage, and the target is poisoned until the start of Ceemal's next turn.","To Me, Sweetie (3/Day). Ceemal chooses an ally within 30 feet of them who can hear them. The ally can use their reaction to move up to their speed toward Ceemal without provoking opportunity attacks.","Wail of Loss. When another Abomination who Ceemal can see is reduced to 0 hit points by an enemy within 60 feet of Ceemal, Ceemal releases a psychic wail. The enemy must make a DC 14 Constitution saving throw, taking 7 (2d6) psychic damage on a failed save, or half as much damage on a successful one.","","","","","",""
