Name,Source,Page,Ability Scores,Size,Speed,Description
Autognome,AAG,11,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Small,30 ft.,"Creature Type You are a Construct. Armored Casing You are encased in thin metal or some other durable material. While you aren't wearing armor, your base Armor Class is 13 + your Dexterity modifier. Built for Success You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Healing Machine If the mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point). In addition, your creator designed you to benefit from several spells that preserve life but that normally don't affect Constructs: cure wounds, healing word, mass cure wounds, mass healing word, and spare the dying. Mechanical Nature You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don't need to eat, drink, or breathe. Sentry's Rest When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious. Specialized Design You gain two tool proficiencies of your choice, selected from the Player's Handbook."
Bugbear,ERLW,25,"Str +2, Dex +1",Medium,30 ft.,"Age Bugbears reach adulthood at age 16 and live up to 80 years. Alignment Bugbears live on the fringes of society even in Darguun, where they value self-sufficiency and violence. They are generally chaotic, organizing in loose tribes under charismatic and powerful leaders. Size Your size is Medium. Darkvision You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Long-Limbed When you make a melee attack on your turn, your reach for it is 5 feet greater than normal. Powerful Build You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Sneaky You are proficient in the Stealth skill. Surprise Attack If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat. Languages You can speak, read, and write Common and Goblin."
Bugbear,MPMM,8,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Creature Type You are a Humanoid. You are also considered a goblinoid for any prerequisite or effect that requires you to be a goblinoid. Darkvision You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Fey Ancestry You have advantage on saving throws you make to avoid or end the charmed condition on yourself. Long-Limbed When you make a melee attack on your turn, your reach for it is 5 feet greater than normal. Powerful Build You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Sneaky You are proficient in the Stealth skill. In addition, without squeezing, you can move through and stop in a space large enough for a Small creature. Surprise Attack If you hit a creature with an attack roll, the creature takes an extra 2d6 damage if it hasn't taken a turn yet in the current combat."
Bugbear,VGM,119,"Str +2, Dex +1",Medium,30 ft.,"Age Bugbears reach adulthood at age 16 and live up to 80 years. Size Bugbears are between 6 and 8 feet tall and weigh between 250 and 350 pounds. Your size is Medium. Darkvision You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Long-Limbed When you make a melee attack on your turn, your reach for it is 5 feet greater than normal. Powerful Build You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Sneaky You are proficient in the Stealth skill. Surprise Attack If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat. Languages You can speak, read, and write Common and Goblin."
Bullywug,DMG,282,"Int -2, Cha -2",Medium,"20 ft., Swim 40 ft.","Amphibious You can breathe air and water. Speak with Frogs and Toads You can communicate simple concepts to frogs and toads when you speak in Bullywug. Swamp Camouflage You have advantage on Dexterity (Stealth) checks made to hide in swampy terrain. Standing Leap Your long jump is up to 20 feet and your high jump is up to 10 feet, with or without a running start. Languages You can speak, read, and write Bullywug."
Centaur,GGR,15,"Str +2, Wis +1",Medium,40 ft.,"Age Centaurs mature and age at about the same rate as humans. Alignment Centaurs are inclined toward neutrality. Those who join the Selesnya are more often neutral good, while those who join the Gruul are typically chaotic neutral. Size Centaurs stand between 6 and 7 feet tall, with their equine bodies reaching about 4 feet at the withers. Your size is Medium. Fey Your creature type is fey, rather than humanoid. Charge If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves. Hooves Your hooves are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike. Equine Build You count as one size larger when determining your carrying capacity and the weight you can push or drag. In addition, any climb that requires hands and feet is especially difficult for you because of your equine legs. When you make such a climb, each foot of movement costs you 4 extra feet, instead of the normal 1 extra foot. Survivor You have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival. Languages You can speak, read, and write Common and Sylvan. Sylvan is widely spoken in the Selesnya Conclave, for it is rich in vocabulary to describe natural phenomena and spiritual forces."
Centaur,MOT,18,,,,
Centaur,MPMM,9,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,40 ft.,"Creature Type You are a Fey. Charge If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves. Equine Build You count as one size larger when determining your carrying capacity and the weight you can push or drag. In addition, any climb that requires hands and feet is especially difficult for you because of your equine legs. When you make such a climb, each foot of movement costs you 4 extra feet instead of the normal 1 extra foot. Hooves You have hooves that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier bludgeoning damage, instead of the bludgeoning damage normal for an unarmed strike. Natural Affinity Your fey connection to nature gives you an intuitive connection to the natural world and the animals within it. You therefore have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival."
Changeling,ERLW,17,"Cha +2, Choose +1 to one ability from Str, Dex, Con, Int, Wis",Medium,30 ft.,"Age Changelings mature slightly faster than humans but share a similar lifespan—typically a century or less. While a changeling can transform to conceal their age, the effects of aging affect them similarly to humans. Alignment Changelings tend toward pragmatic neutrality, and few changelings embrace evil. Size Your size is Medium. Shapechanger As an action, you can change your appearance and your voice. You determine the specifics of the changes, including your coloration, hair length, and sex. You can also adjust your height and weight, but not so much that your size changes. You can make yourself appear as a member of another race, though none of your game statistics change. You can't duplicate the appearance of a creature you've never seen, and you must adopt a form that has the same basic arrangement of limbs that you have. Your clothing and equipment aren't changed by this trait. You stay in the new form until you use an action to revert to your true form or until you die. Changeling Instincts You gain proficiency with two of the following skills of your choice: Deception, Insight, Intimidation, and Persuasion. Languages You can speak, read, and write Common and two other languages of your choice."
Changeling,MPMM,10,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha","Small, Medium",30 ft.,"Creature Type You are a Fey. Size You are Medium or Small. You choose the size when you select this race. Changeling Instincts Thanks to your connection to the fey realm, you gain proficiency with two of the following skills of your choice: Deception, Insight, Intimidation, Performance, or Persuasion. Shapechanger As an action, you change your appearance and your voice. You determine the specifics of the changes, including your coloration, hair length, and sex. You can also adjust your height between Medium and Small. You can make yourself appear as a member of another race, though none of your game statistics change. You can't duplicate the appearance of an individual you've never seen, and you must adopt a form that has the same basic arrangement of limbs that you have. Your clothing and equipment aren't changed by this trait. You stay in the new form until you use an action to revert to your true form or until you die."
Custom Lineage,TCE,8,"Choose +2 to one ability from Str, Dex, Con, Int, Wis, Cha","Small, Medium",30 ft.,"Instead of choosing one of the game's races for your character at 1st level, you can use the following traits to represent your character's lineage, giving you full control over how your character's origin shaped them: Creature Type You are a humanoid. You determine your appearance and whether you resemble any of your kin. Size You are Small or Medium (your choice). Feat You gain one of your choice for which you qualify. Variable Trait You gain one of the following options of your choice: (a) darkvision with a range of 60 feet or (b) proficiency in one skill of your choice. Languages You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character. Your race is considered to be a Custom Lineage for any game feature that requires a certain race, such as elf or dwarf."
Deep Gnome,MPMM,11,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Small,30 ft.,"Creature Type You are a Humanoid. You are also considered a gnome for any prerequisite or effect that requires you to be a gnome. Darkvision You can see in dim light within 120 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Gift of the Svirfneblin Starting at 3rd level, you can cast the disguise self spell with this trait. Starting at 5th level, you can also cast the nondetection spell with it, without requiring a material component. Once you cast either of these spells with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast these using spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). Gnomish Magic Resistance You have advantage on Intelligence, Wisdom, and Charisma saving throws against spells. Svirfneblin Camouflage When you make a Dexterity (Stealth) check, you can make the check with advantage. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
Deep Gnome,MTF,113,Dex +1,,,"Age Deep gnomes are short-lived for gnomes. They mature at the same rate humans do and are considered full-grown adults by 25. They live 200 to 250 years, although hard toil and the dangers of the Underdark often claim them before their time. Size Unlike other gnomes, svirfneblin tend to weigh 80 to 120 pounds. Your size is Small. Alignment Svirfneblin believe that survival depends on avoiding entanglements with other creatures and not making enemies, so they favor neutral alignments. They rarely wish others ill, and they are unlikely to take risks on behalf of others, except those dearest to them. Superior Darkvision Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 120 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Stone Camouflage You have advantage on Dexterity (Stealth) checks to hide in rocky terrain. Languages You can speak, read, and write Common, Gnomish, and Undercommon."
Dhampir,VRGR,16,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha","Small, Medium","35 ft., Climb","Size You are Medium or Small. You choose the size when you gain this lineage. Ancestral Legacy If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it. If you don't keep any of those elements or you choose this lineage at character creation, you gain proficiency in two skills of your choice. Darkvision You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray. Deathless Nature You don't need to breathe. Spider Climb You have a climbing speed equal to your walking speed. In addition, at 3rd level, you can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free. Vampiric Bite Your fanged bite is a natural weapon, which counts as a simple melee weapon with which you are proficient. You add your Constitution modifier, instead of your Strength modifier, to the attack and damage rolls when you attack with this bite. It deals 1d4 piercing damage on a hit. While you are missing half or more of your hit points, you have advantage on attack rolls you make with this bite. When you attack with this bite and hit a creature that isn't a Construct or an Undead, you can empower yourself in one of the following ways of your choice: You regain hit points equal to the piercing damage dealt by the bite. You gain a bonus to the next ability check or attack roll you make; the bonus equals the piercing damage dealt by the bite You can empower yourself with this bite a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest."
Dragonborn,PHB,32,"Str +2, Cha +1",Medium,30 ft.,"Age Young dragonborn grow quickly. They walk hours after hatching, attain the size and development of a 10-year-old human child by the age of 3, and reach adulthood by 15. They live to be around 80. Size Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium. Draconic Ancestry You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon and damage resistance are determined by the dragon type, as shown in the table. Breath Weapon You can use your action to exhale destructive energy. Your draconic ancestry determines the size, shape, and damage type of the exhalation. When you use your breath weapon, each creature in the area of the exhalation must make a saving throw, the type of which is determined by your draconic ancestry. The DC for this saving throw equals 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increases to 3d6 at 6th level, 4d6 at 11th level, and 5d6 at 16th level. After you use your breath weapon, you can't use it again until you complete a short or long rest. Damage Resistance You have resistance to the damage type associated with your draconic ancestry. Languages You can speak, read, and write Common and Draconic. Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants."
Dragonborn (Chromatic),FTD,10,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Chromatic Ancestry You have a chromatic dragon ancestor, granting you a special magical affinity. Choose one kind of dragon from the Chromatic Ancestry table. This determines the damage type for your other traits, as shown in the table. Breath Weapon When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 30-foot line that is 5 feet wide. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Chromatic Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Draconic Resistance You have resistance to the damage type associated with your Chromatic Ancestry. Chromatic Warding Starting at 5th level, as an action, you can channel your draconic energy to protect yourself. For 1 minute, you become immune to the damage type associated with your Chromatic Ancestry. Once you use this trait, you can't do so again until you finish a long rest."
Dragonborn (Gem),FTD,11,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Gem Ancestry You have a gem dragon ancestor, granting you a special magical affinity. Choose one kind of dragon from the Gem Ancestry table. This determines the damage type for your other traits, as shown in the table. Breath Weapon When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 15-foot cone. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Gem Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Draconic Resistance You have resistance to the damage type associated with your Gem Ancestry. Psionic Mind You can send telepathic messages to any creature you can see within 30 feet of you. You don't need to share a language with the creature for it to understand these messages, but it must be able to understand at least one language to comprehend them. Gem Flight Starting at 5th level, you can use a bonus action to manifest spectral wings on your body. These wings last for 1 minute. For the duration, you gain a flying speed equal to your walking speed and can hover. Once you use this trait, you can't do so again until you finish a long rest."
Dragonborn (Metallic),FTD,12,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Metallic Ancestry You have a metallic dragon ancestor, granting you a special magical affinity. Choose one kind of dragon from the Metallic Ancestry table. This determines the damage type for your other traits, as shown in the table. Breath Weapon When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 15-foot cone. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Metallic Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Draconic Resistance You have resistance to the damage type associated with your Metallic Ancestry. Metallic Breath Weapon At 5th level, you gain a second breath weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation in a 15-foot cone. The save DC for this breath is 8 + your Constitution modifier + your proficiency bonus. Whenever you use this trait, choose one: Enervating Breath Each creature in the cone must succeed on a Constitution saving throw or become incapacitated until the start of your next turn. Repulsion Breath Each creature in the cone must succeed on a Strength saving throw or be pushed 20 feet away from you and be knocked prone. Once you use your Metallic Breath Weapon, you can't do so again until you finish a long rest."
Dragonborn Draconblood,EGW,168,"Int +2, Cha +1",,,"Darkvision You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Forceful Presence You can use your understanding of creative diplomacy or intimidation to guide a conversation in your favor. When you make a Charisma (Intimidation or Persuasion) check, you can do so with advantage. Once you use this trait, you can't do so again until you finish a short or long rest. Draconic Ancestry You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon is determined by the dragon type, as shown in the table."
Dragonborn Ravenite,EGW,168,"Str +2, Con +1",,,"Darkvision You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Vengeful Assault When you take damage from a creature in range of a weapon you are wielding, you can use your reaction to make an attack with the weapon against that creature. Once you use this trait, you can't do so again until you finish a short or long rest. Draconic Ancestry You have draconic ancestry. Choose one type of dragon from the Draconic Ancestry table. Your breath weapon is determined by the dragon type, as shown in the table."
Dragonborn Variant,PHB,32,,,,
Drow,PHB,24,Cha +1,,,"Superior Darkvision Accustomed to the depths of the Underdark, you have superior vision in dark and dim conditions. You can see in dim light within 120 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Sunlight Sensitivity You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight. Drow Magic You know the dancing lights cantrip. When you reach 3rd level, you can cast the faerie fire spell once with this trait; you regain the ability to cast it when you finish a long rest. When you reach 5th level, you can also cast the darkness spell once per day with this trait; you regain the ability to cast it when you finish a long rest. Charisma is your spellcasting ability for these spells. Drow Weapon Training You have proficiency with rapier, shortsword, and hand crossbow."
Duergar,MPMM,12,"Choose +2 / +1 or +1 / +1 / +1 from Str, Dex, Con, Int, Wis, Cha",Medium,30 ft.,"Creature Type You are a Humanoid. You are also considered a dwarf for any prerequisite or effect that requires you to be a dwarf. Darkvision You can see in dim light within 120 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Duergar Magic Starting at 3rd level, you can cast the enlarge/reduce spell on yourself with this trait, without requiring a material component. Starting at 5th level, you can also cast the invisibility spell on yourself with this trait, without requiring a material component. Once you cast either of these spells with this trait, you can't cast that spell with it again until you finish a long rest. You can also cast these spells using spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). Dwarven Resilience You have advantage on saving throws you make to avoid or end the poisoned condition on yourself. You also have resistance to poison damage. Psionic Fortitude You have advantage on saving throws you make to avoid or end the charmed or stunned condition on yourself."
Dwarf,PHB,18,Con +2,Medium,25 ft.,"Age Dwarves mature at the same rate as humans, but they're considered young until they reach the age of 50. On average, they live about 350 years. Size Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium. Speed Your speed is not reduced by wearing heavy armor. Darkvision Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Dwarven Resilience You have advantage on saving throws against poison, and you have resistance against poison damage. Dwarven Combat Training You have proficiency with the battleaxe, handaxe, light hammer, and warhammer. Tool Proficiency You gain proficiency with the artisan's tools of your choice: Smith's tools, brewer's supplies, or mason's tools. Stonecunning Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus. Languages You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak."
Dwarf Duergar,MTF,81,Str +1,,,"Superior Darkvision Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 120 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray. Duergar Resilience You have advantage on saving throws against poison, and you have resistance against poison damage. You also have advantage on saving throws against illusions and against being charmed or paralyzed. Languages You can speak, read, and write Common, Dwarvish, and Undercommon. Duergar Magic When you reach 3rd level, you can cast the Enlarge/Reduce spell on yourself once with this trait, using only the spell's enlarge option. When you reach 5th level, you can cast the Invisibility spell on yourself once with this trait. You don't need material components for either spell, and you can't cast them while you're in direct sunlight, although sunlight has no effect on them once cast. You regain the ability to cast these spells with this trait when you finish a long rest. Intelligence is your spellcasting ability for these spells. Sunlight Sensitivity You have disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight."
