Name,Source,Page,Description
Faceless,BGDIA,203,"Skill Proficiencies: Deception, Intimidation Tool Proficiencies: Disguise kit Languages: One of your choice Equipment: Disguise kit, a costume clothes, a pouch containing 10 gp Faceless Persona A faceless character adventures behind the mask of a public persona. This persona is as natural to them as their hidden, true face, but it disguises their identity. Roll on the Faceless Persona table to determine your persona, or work with the DM to create a persona that's unique to your character and suits the tone of your game. Feature: Dual Personalities Most of your fellow adventurers and the world know you as your persona. Those who seek to learn more about you—your weaknesses, your origins, your purpose—find themselves stymied by your disguise. Upon donning a disguise and behaving as your persona, you are unidentifiable as your true self. By removing your disguise and revealing your true face, you are no longer identifiable as your persona. This allows you to change appearances between your two personalities as often as you wish, using one to hide the other or serve as convenient camouflage. However, should someone realize the connection between your persona and your true self, your deception might lose its effectiveness. Suggested Characteristics A faceless character usually plays their persona—the hero or extraordinary person they are every day. That's all a facade, though, or a part of them expressed to an extreme. To define a persona, feel free to choose characteristics from other backgrounds, particularly folk hero, hermit, or noble. For the person behind the persona, the one who truly strives to be faceless, consider a distinct set of faceless characteristics. As a result, those with this background have two sets of characteristics, one for their persona, and one for their faceless selves."
Faction Agent,SCAG,147,"Skill Proficiencies: Insight and one Intelligence, Wisdom, or Charisma skill of your choice, as appropriate to your faction Languages: Any two of your choice Equipment: Badge or emblem of your faction, a copy of a seminal faction text (or code-book for a covert faction), a set of common clothes, and a pouch containing 15 gp Feature: Safe Haven As a faction agent, you have access to a secret network of supporters and operatives who can provide assistance on your adventures. You know a set of secret signs and passwords you can use to identify such operatives, who can provide you with access to a hidden safe house, free room and board, or assistance in finding information. These agents never risk their lives for you or risk revealing their true identities. Suggested Characteristics Use the tables for the acolyte background in the Player's Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as a faction agent. (For instance, consider the words ""faith"" and ""faction"" to be interchangeable.) Your bond might be associated with other members of your faction, or a location or an object that is important to your faction. The ideal you strive for is probably in keeping with the tenets and principles of your faction, but might be more personal in nature."
Failed Merchant,AI,49,"Skill Proficiencies: Investigation, Persuasion Tool Proficiencies: One type of artisan's tools Languages: Any one of your choice Equipment: One set of artisan's tools, merchant's scale, a set of fine clothes, and a belt pouch containing 10 gp Feature: Supply Chain From your time as a merchant, you retain connections with wholesalers, suppliers, and other merchants and entrepreneurs. You can call upon these connections when looking for items or information. Suggested Characteristics Being a merchant involved having a head for numbers, a strong personality, the ability to make deals with hostile adversaries, a strong sword arm to fight off bandits, and the intuition for knowing what people want and need. The art of business is the art of finding the best path to profit, and that path might be different with each transaction. It takes a strong mind and a stronger stomach to succeed. So why did you fail?"
Far Traveler,SCAG,148,"Skill Proficiencies: Insight, Perception Tool Proficiencies: Any one musical instrument or gaming set of your choice, likely something native to your homeland Languages: Any one of your choice Equipment: One set of traveler's clothes, any one musical instrument or gaming set you are proficient with, poorly wrought maps from your homeland that depict where you are in Faerûn, a small piece of jewelry worth 10 gp in the style of your homeland's craftsmanship, and a pouch containing 5 gp Feature: All Eyes on You Your accent, mannerisms, figures of speech, and perhaps even your appearance all mark you as foreign. Curious glances are directed your way wherever you go, which can be a nuisance, but you also gain the friendly interest of scholars and others intrigued by far-off lands, to say nothing of everyday folk who are eager to hear stories of your homeland. You can parley this attention into access to people and places you might not otherwise have, for you and your traveling companions. Noble lords, scholars, and merchant princes, to name a few, might be interested in hearing about your distant homeland and people. Why Are You Here? A far traveler might have set out on a journey for one of a number of reasons, and the departure from his or her homeland could have been voluntary or involuntary. To determine why you are so far from home, roll on the table below or choose from the options provided. The following section, discussing possible homelands, includes some suggested reasons that are appropriate for each location. Suggested Characteristics"
Feylost,WBtW,9,"Skill Proficiencies: Deception, Survival Tool Proficiencies: One type of musical instrument Languages: One of your choice of , , , or Equipment: A musical instrument (one of your choice), a Traveler's Clothes, three trinkets (each determined by rolling on the Feywild Trinket table), and a pouch containing 8 gp Feature: Feywild Connection Your mannerisms and knowledge of fey customs are recognized by natives of the Feywild, who see you as one of their own. Because of this, friendly Fey creatures are inclined to come to your aid if you are lost or need help in the Feywild. Fey Mark You were transformed in some small way by your stay in the Feywild and gained a fey mark, determined by rolling on the Fey Mark table. Feywild Visitor Whenever you're sound asleep or in a deep trance during a long rest, a spirit of the Feywild might pay you a visit, if the DM wishes it. Determine the spirit's form by rolling on the Feywild Visitor table. No harm ever comes to you as a result of such visits, which can last for minutes or hours, and you remember each visit when you wake up. Conversations that occur with a visitor can contain any number of things, from messages and insights to nonsense and red herrings, at the DM's discretion. Such conversations are always conducted in a language you can understand, even if the Feywild visitor can't speak that language normally. Character Traits As the players choose backgrounds for their characters, they can use the following tables to help determine their characters' personality traits, ideals, bonds, and flaws. Players can use these tables instead of the ones that appear in the Player's Handbook, or they can mix and match them. If a rolled result doesn't make sense for a character, the player can roll again or choose a more appropriate entry on the table. These tables, while optional, are well suited to Feywild-themed adventures and are ideal for any character who has the feylost or Witchlight hand background."
Fisher,GoS,29,"Skill Proficiencies: History, Survival Languages: One of your choice Equipment: Fishing tackle, a net, a favorite fishing lure or oiled leather wading boots, a set of traveler's clothes, and a belt pouch containing 10 gp Feature: Harvest the Water You gain advantage on ability checks made using fishing tackle. If you have access to a body of water that sustains marine life, you can maintain a moderate lifestyle while working as a fisher, and you can catch enough food to feed yourself and up to ten other people each day. Fishing Tale You can tell a compelling tale, whether tall or true, to impress and entertain others. Once a day, you can tell your story to willing listeners. At the DM's discretion, a number of those listeners become friendly toward you; this is not a magical effect, and continued amicability on their part depends on your actions. You can roll on the following table to help determine the theme of your tale or choose one that best fits your character. Alternatively, work with your DM to create your own fishing tale. Suggested Characteristics Fishers succeed only if they spend time at their jobs. As such, most fishers have a strong work ethic, and they admire others who earn their living honestly. Fishers tend to be superstitious, forming attachments to particular fishing lures or special fishing spots. They have a connection to the bodies of water in which they fish, and they think poorly of those whose actions adversely affect their livelihood."
Folk Hero,PHB,131,"Skill Proficiencies: Animal Handling, Survival Tool Proficiencies: One type of artisan's tools, vehicles (land) Equipment: A set of artisan's tools (one of your choice), a shovel, an iron pot, a set of common clothes, and a belt pouch containing 10 gp Feature: Rustic Hospitality Since you come from the ranks of the common folk, you fit in among them with ease. You can find a place to hide, rest, or recuperate among other commoners, unless you have shown yourself to be a danger to them. They will shield you from the law or anyone else searching for you, though they will not risk their lives for you. Specialty You previously pursued a simple profession among the peasantry, perhaps as a farmer, miner, servant, shepherd, woodcutter, or gravedigger. But something happened that set you on a different path and marked you for greater things. Choose or randomly determine a defining event that marked you as a hero of the people. Suggested Characteristics A folk hero is one of the common people, for better or for worse. Most folk heroes look on their humble origins as a virtue, not a shortcoming, and their home communities remain very important to them."
Gambler,AI,49,"Skill Proficiencies: Deception, Insight Tool Proficiencies: One gaming set Languages: Any one of your choice Equipment: One gaming set, a lucky charm, a set of fine clothes, and a belt pouch containing 15 gp Feature: Never Tell Me the Odds Odds and probability are your bread and butter. During downtime activities that involve games of chance or figuring odds on the best plan, you can get a solid sense of which choice is likely the best one and which opportunities seem too good to be true, at the DM's determination. Suggested Characteristics Some gamble out of necessity. Others do so out of boredom. Still others become addicted to the thrill of winning or losing everything on a turn of fortune. For some, gambling is less a matter of chance and more a matter of seeking every advantage to ensure the outcome. The best gamblers can lose everything, and the worst gamblers sometimes win. Regardless, you can always tell gamblers by the look in their eyes. Lady Luck haunts them."
Gate Warden,SatO,7,"Skill Proficiencies: Persuasion, Survival Languages: Two of your choice (Abyssal, Celestial, or Infernal recommended) Equipment: A ring of keys to unknown locks, a blank book, an ink pen or quill, a bottle of black ink, a set of traveler's clothes, and a pouch containing 10 gp Feature: Planar Infusion Living in a gate-town or a similar location steeped you in planar energy. You gain the Scion of the Outer Planes feat. In addition, you know where to find free, modest lodging and food in the community you grew up in. Suggested Characteristics The influence of an Outer Plane shapes your perspective. The Gate Warden Personality Traits table suggests traits you might adopt for your character. Building a Gate Warden Character Those who dwell for an extended time near a permanent portal to another plane absorb the essence radiating from the realm beyond. Those influenced by the same plane share similarities in behavior and even physical appearance. Gate Warden Trinkets When you make your character, you can roll once on the Gate Warden Trinket table, instead of on the Trinket table in the Player's Handbook, for your starting trinket."
Giant Foundling,BGG,6,"Skill Proficiencies: Intimidation, Survival Languages: Giant and one other language of your choice Equipment: A backpack, a set of traveler's clothes, a small stone or sprig that reminds you of home, and a pouch containing 10 gp Origin Stories How you came to live among colossal creatures is up to you to determine, but the Foundling Origin table suggests a variety of possibilities. Building a Giant Foundling Character Your life among giants has given you a unique perspective. Though you are unusually large for your kind, you're no larger than a giant child, so you might be very mindful of your size. Feature: Strike of the Giants You gain the Strike of the Giants feat. Suggested Characteristics The Giant Foundling Personality Traits table suggests a variety of traits you might adopt for your character."
