Name,Source,Page,Ability Scores,Size,Speed,Description
Barding,TLotRR,28,Strength +1; Charisma +1,Medium,30 feet,"Adventuring Age. Between 18–40 years of age. Bardings rarely become adventurers before their 18th year, and retire in their forties, when they return home to serve their family and folk.<br><br>Archers of Dale. You have proficiency with the great bow.<br><br>Starting Virtue. You gain one cultural virtue of your choice (see Chapter 4).<br><br>Trading People. You have proficiency in the Persuasion skill.<br><br>Languages. You can speak, read and write Westron and Dalish, a language that can be described as a very old form of the Common Speech.<br><br>Standard of Living: Prosperous. The city of Dale and nearby Esgaroth are successful trading towns. Those among the Bardings who choose a life of adventure are usually members of less affluent families—yet, their wealth is still superior to that of most of the denizens of Eriador. Starting Gear"
Bearfolk,BookOfEbonTides,22,Strength +2,Medium,30 feet,"Age. Bearfolk come of age in their late teens and live around 80 years.<br><br>Alignment. Bearfolk are predominantly good, mistrusting and shunning evil. While they hold rich traditions, they value their freedom and tend toward chaotic alignments.<br><br>Bite. Your powerful jaws are natural weapons, which you can use to make unarmed strikes. If it hits, you deal 1d6 + your Strength modifier piercing damage.<br><br>Natural Armor. Your hide is thick and tough, granting you a natural AC of 13 + your Dexterity modifier.<br><br>Powerful Build. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.<br><br>Ursine Talent. You have proficiency in the Athletics and Perception skills.<br><br>Languages. You can speak, read, and write either Common (if you hail from the mortal lands) or Umbral (if native to the Shadow Realm)."
Bearfolk (Shadowborn),BookOfEbonTides,22,Strength +2; Dexterity +1,Medium,30 feet,"Age. Bearfolk come of age in their late teens and live around 80 years.<br><br>Alignment. Bearfolk are predominantly good, mistrusting and shunning evil. While they hold rich traditions, they value their freedom and tend toward chaotic alignments.<br><br>Bite. Your powerful jaws are natural weapons, which you can use to make unarmed strikes. If it hits, you deal 1d6 + your Strength modifier piercing damage.<br><br>Natural Armor. Your hide is thick and tough, granting you a natural AC of 13 + your Dexterity modifier.<br><br>Powerful Build. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.<br><br>Ursine Talent. You have proficiency in the Athletics and Perception skills.<br><br>Languages. You can speak, read, and write either Common (if you hail from the mortal lands) or Umbral (if native to the Shadow Realm).<br><br>Cloak of Night. While in dim light or darkness, you have advantage on Dexterity (Stealth) checks and can take the Hide action as a bonus action.<br><br>Darkvision. You can see in dim light within 60 feet as though it were bright light and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
Bree-Hobbit,TLotRR,183,Dexterity +2,Small,25 feet,"Ability Score Increase. Your Dexterity score increases by 2.<br><br>Adventuring Age. Between 25–60 years of age. Hobbits do not abandon their comfortable lives easily, but when they do they usually wait for their coming of age at 33. A particularly reckless fellow might feel the call to adventure when in their tweens, as Hobbits call their twenties.<br><br>Bree-Hobbit Curiosity. You have proficiency in the Insight skill.<br><br>Hobbit-Sense. You have advantage on all Intelligence, Wisdom, and Charisma saving throws against Shadow.<br><br>Pipe-Weed Lore. You have proficiency with pipes.<br><br>Unobtrusive. You can move through the space of any creature that is of a size larger than yours.<br><br>Languages. You speak, read and write Westron, preserving the use of a few words and names of your own forgotten tongue.<br><br>Standard of Living: Common. Hobbits live in peace, their land is well-tilled and their borders protected, but theirs is an isolated island in the middle of a desolate region, and trading is an uncommon occurrence. Starting Gear"
Bree-Hobbit (Fallohide),TLotRR,38,Dexterity +2; Charisma +1,Small,25 feet,"Ability Score Increase. Your Dexterity score increases by 2.<br><br>Adventuring Age. Between 25–60 years of age. Hobbits do not abandon their comfortable lives easily, but when they do they usually wait for their coming of age at 33. A particularly reckless fellow might feel the call to adventure when in their tweens, as Hobbits call their twenties.<br><br>Bree-Hobbit Curiosity. You have proficiency in the Insight skill.<br><br>Hobbit-Sense. You have advantage on all Intelligence, Wisdom, and Charisma saving throws against Shadow.<br><br>Pipe-Weed Lore. You have proficiency with pipes.<br><br>Unobtrusive. You can move through the space of any creature that is of a size larger than yours.<br><br>Languages. You speak, read and write Westron, preserving the use of a few words and names of your own forgotten tongue.<br><br>Standard of Living: Common. Hobbits live in peace, their land is well-tilled and their borders protected, but theirs is an isolated island in the middle of a desolate region, and trading is an uncommon occurrence. Starting Gear"
Bree-Hobbit (Harfoot),TLotRR,38,Dexterity +2; Wisdom +1,Small,25 feet,"Ability Score Increase. Your Dexterity score increases by 2.<br><br>Adventuring Age. Between 25–60 years of age. Hobbits do not abandon their comfortable lives easily, but when they do they usually wait for their coming of age at 33. A particularly reckless fellow might feel the call to adventure when in their tweens, as Hobbits call their twenties.<br><br>Bree-Hobbit Curiosity. You have proficiency in the Insight skill.<br><br>Hobbit-Sense. You have advantage on all Intelligence, Wisdom, and Charisma saving throws against Shadow.<br><br>Pipe-Weed Lore. You have proficiency with pipes.<br><br>Unobtrusive. You can move through the space of any creature that is of a size larger than yours.<br><br>Languages. You speak, read and write Westron, preserving the use of a few words and names of your own forgotten tongue.<br><br>Standard of Living: Common. Hobbits live in peace, their land is well-tilled and their borders protected, but theirs is an isolated island in the middle of a desolate region, and trading is an uncommon occurrence. Starting Gear"
Bree-Hobbit (Stoor),TLotRR,38,Dexterity +2; Constitution +1,Small,25 feet,"Ability Score Increase. Your Dexterity score increases by 2.<br><br>Adventuring Age. Between 25–60 years of age. Hobbits do not abandon their comfortable lives easily, but when they do they usually wait for their coming of age at 33. A particularly reckless fellow might feel the call to adventure when in their tweens, as Hobbits call their twenties.<br><br>Bree-Hobbit Curiosity. You have proficiency in the Insight skill.<br><br>Hobbit-Sense. You have advantage on all Intelligence, Wisdom, and Charisma saving throws against Shadow.<br><br>Pipe-Weed Lore. You have proficiency with pipes.<br><br>Unobtrusive. You can move through the space of any creature that is of a size larger than yours.<br><br>Languages. You speak, read and write Westron, preserving the use of a few words and names of your own forgotten tongue.<br><br>Standard of Living: Common. Hobbits live in peace, their land is well-tilled and their borders protected, but theirs is an isolated island in the middle of a desolate region, and trading is an uncommon occurrence. Starting Gear"
Bugbear,ERLW,25,Strength +2; Dexterity +1,Medium,30 feet,"<strong>Age</strong><br><br>Bugbears reach adulthood at age 16 and live up to 80 years.<br><br><strong>Alignment</strong><br><br>Bugbears live on the fringes of society even in Darguun, where they value self-sufficiency and violence. They are generally chaotic, organizing in loose tribes under charismatic and powerful leaders.<br><br><strong>Size</strong><br><br>Your size is Medium.<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Long-Limbed</strong><br><br>When you make a melee attack on your turn, your reach for it is 5 feet greater than normal.<br><br><strong>Powerful Build</strong><br><br>You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.<br><br><strong>Sneaky</strong><br><br>You are proficient in the Stealth skill.<br><br><strong>Surprise Attack</strong><br><br>If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Goblin."
Bugbear,MPMM,8,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Medium,30 feet,"<strong>Creature Type</strong><br><br>You are a Humanoid. You are also considered a goblinoid for any prerequisite or effect that requires you to be a goblinoid.<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws you make to avoid or end the charmed condition on yourself.<br><br><strong>Long-Limbed</strong><br><br>When you make a melee attack on your turn, your reach for it is 5 feet greater than normal.<br><br><strong>Powerful Build</strong><br><br>You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.<br><br><strong>Sneaky</strong><br><br>You are proficient in the Stealth skill. In addition, without squeezing, you can move through and stop in a space large enough for a Small creature.<br><br><strong>Surprise Attack</strong><br><br>If you hit a creature with an attack roll, the creature takes an extra 2d6 damage if it hasn't taken a turn yet in the current combat."
Bugbear,VGM,119,Strength +2; Dexterity +1,Medium,30 feet,"<strong>Age</strong><br><br>Bugbears reach adulthood at age 16 and live up to 80 years.<br><br><strong>Size</strong><br><br>Bugbears are between 6 and 8 feet tall and weigh between 250 and 350 pounds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Long-Limbed</strong><br><br>When you make a melee attack on your turn, your reach for it is 5 feet greater than normal.<br><br><strong>Powerful Build</strong><br><br>You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.<br><br><strong>Sneaky</strong><br><br>You are proficient in the Stealth skill.<br><br><strong>Surprise Attack</strong><br><br>If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Goblin."
Centaur,GGR,15,Strength +2; Wisdom +1,Medium,40 feet,"<strong>Age</strong><br><br>Centaurs mature and age at about the same rate as humans.<br><br><strong>Alignment</strong><br><br>Centaurs are inclined toward neutrality. Those who join the Selesnya are more often neutral good, while those who join the Gruul are typically chaotic neutral.<br><br><strong>Size</strong><br><br>Centaurs stand between 6 and 7 feet tall, with their equine bodies reaching about 4 feet at the withers. Your size is Medium.<br><br><strong>Fey</strong><br><br>Your creature type is fey, rather than humanoid.<br><br><strong>Charge</strong><br><br>If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves.<br><br><strong>Hooves</strong><br><br>Your hooves are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike.<br><br><strong>Equine Build</strong><br><br>You count as one size larger when determining your carrying capacity and the weight you can push or drag.<br><br>In addition, any climb that requires hands and feet is especially difficult for you because of your equine legs. When you make such a climb, each foot of movement costs you 4 extra feet, instead of the normal 1 extra foot.<br><br><strong>Survivor</strong><br><br>You have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Sylvan. Sylvan is widely spoken in the Selesnya Conclave, for it is rich in vocabulary to describe natural phenomena and spiritual forces."
Centaur,MOT,18,Strength +2; Wisdom +1,Medium,40 feet,
Centaur,MPMM,9,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Medium,40 feet,"<strong>Creature Type</strong><br><br>You are a Fey.<br><br><strong>Charge</strong><br><br>If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves.<br><br><strong>Equine Build</strong><br><br>You count as one size larger when determining your carrying capacity and the weight you can push or drag.<br><br>In addition, any climb that requires hands and feet is especially difficult for you because of your equine legs. When you make such a climb, each foot of movement costs you 4 extra feet instead of the normal 1 extra foot.<br><br><strong>Hooves</strong><br><br>You have hooves that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier bludgeoning damage, instead of the bludgeoning damage normal for an unarmed strike.<br><br><strong>Natural Affinity</strong><br><br>Your fey connection to nature gives you an intuitive connection to the natural world and the animals within it. You therefore have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival."
Cervan,HumblewoodCampaignSetting,22,Constitution +2,Medium,30 feet,"Age. Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith's favor.<br><br>Alignment. Cervans are pragmatic in their thinking, and generally prefer to keep their philosophies flexible in order to prioritize what they believe is important for both themselves and their communities. They lean towards neutral alignments.<br><br>Size. Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds. Pronghorn cervans are taller and tend toward heavier, more muscular builds, standing around 7 feet tall, and sometimes weighing over 200 pounds. Your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Practical. Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival.<br><br>Surge of Vigor. All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier. You can't use this feature again until you have completed a long rest.<br><br>Languages. You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component)."
Cervan (Grove),HumblewoodCampaignSetting,22,Constitution +2; Dexterity +1,Medium,35 feet,"Age. Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith's favor.<br><br>Alignment. Cervans are pragmatic in their thinking, and generally prefer to keep their philosophies flexible in order to prioritize what they believe is important for both themselves and their communities. They lean towards neutral alignments.<br><br>Size. Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds. Pronghorn cervans are taller and tend toward heavier, more muscular builds, standing around 7 feet tall, and sometimes weighing over 200 pounds. Your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Practical. Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival.<br><br>Surge of Vigor. All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier. You can't use this feature again until you have completed a long rest.<br><br>Languages. You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component).<br><br>Swift. Your base walking speed increases to 35 feet.<br><br>Standing Leap. Your base long jump is 30 feet, and your base high jump is 15 feet, with or without a running start.<br><br>Nimble Step. Opportunity attacks made against you are rolled with disadvantage."
